@id,n,NCBI_id
1017,CNPPD1,27013
1018,RBM38,55544
1019,NR1H2,7376
1020,MAPK1IP1L,93487
1021,NXF1,10482
1022,SGTA,6449
1023,COL4A5,1287
1024,TP53INP2,58476
1025,GRB2,2885
1026,PSMD11,5717
1027,RRP12,23223
1028,SRRD,402055
1029,RBM28,55131
1030,ACADVL,37
1031,KDM1A,23028
1032,BAG6,7917
1033,RAD23A,5886
1034,MKNK2,2872
1035,TLE1,7088
1036,FOXO3,2309
1037,SLC4A1,6521
1038,RNASE3,6037
1039,MEOX2,4223
1040,STRN4,29888
1041,MLF2,8079
1042,SRPRA,6734
1043,NOC2L,26155
1044,ALAS2,212
1045,EPB42,2038
1046,ENO1,2023
1047,AMFR,267
1048,CS,1431
1049,RMND5B,64777
1050,TARDBP,23435
1051,EIF2AK2,5610
1052,ARPC5L,81873
1053,RNF149,284996
1054,ZBTB14,7541
1055,HSP90AA1,3320
1056,ZMIZ1,57178
1057,KCTD2,23510
1058,EEF1A1,1915
1059,CHORDC1,26973
1060,PSMD2,5708
1061,MAP2K3,5606
1062,DCAF12,25853
1063,PON3,5446
1064,EED,8726
1065,SCAP,22937
1066,RNF32,140545
1067,TAL1,6886
1068,WRN,7486
1069,DNPEP,23549
1070,CANT1,124583
1071,PSME4,23198
1072,ASCC2,84164
1073,RNFT2,84900
1074,ACTR1A,10121
1075,TULP3,7289
1076,MAGI1,9223
1077,ZDHHC17,23390
1078,GOLPH3,64083
1079,RNF13,11342
1080,HOMER2,9455
1081,IL6ST,3572
1082,MOCS2,4338
1083,P4HA1,5033
1084,SRSF11,9295
1085,PDCD10,11235
1086,DYNLL1,8655
1087,LEMD3,23592
1088,GAPVD1,26130
1089,ZFYVE16,9765
1090,FAM114A1,92689
1091,YAF2,10138
1092,ARHGEF12,23365
1093,ITPRID2,6744
1094,PIK3C2A,5286
1095,OSBPL9,114883
1096,SNN,8303
1097,PTEN,5728
1098,CDKN1B,1027
1099,MYO18A,399687
1100,PUM1,9698
1101,CRIPT,9419
1102,CCNT2,905
1103,WDR44,54521
1104,CSDE1,7812
1105,WSB2,55884
1106,JAK1,3716
1107,SPRTN,83932
1108,ZEB2,9839
1109,DSTN,11034
1110,CAMSAP2,23271
1111,PSMD14,10213
1112,PSMD10,5716
1113,CBL,867
1114,PSMD12,5718
1115,FBXO34,55030
1116,WDFY3,23001
1117,FBXO33,254170
1118,ANKRA2,57763
1119,ATXN1,6310
1120,RALBP1,10928
1121,PRNP,5621
1122,TNFRSF10B,8795
1123,ATP6AP2,10159
1124,KCMF1,56888
1125,MARF1,9665
1126,PYROXD1,79912
1127,ARL8B,55207
1128,ANKRD28,23243
1129,AP2M1,1173
1130,SPTLC1,10558
1131,HEBP2,23593
1132,CPEB3,22849
1133,HS2ST1,9653
1134,LMBRD1,55788
1135,CAPZA1,829
1136,RAB33B,83452
1137,INSL3,3640
1138,ZFYVE9,9372
1139,AP1G1,164
1140,MMD,23531
1141,ATP11B,23200
1142,RBM7,10179
1143,LAPTM4A,9741
1144,PSMD5,5711
1145,PSMD7,5713
1146,PSMD6,9861
1147,PSMD1,5707
1148,PSMD3,5709
1149,QKI,9444
1150,ATP13A3,79572
1151,DYNC1I2,1781
1152,RYBP,23429
1153,EFR3A,23167
1154,PSMC6,5706
1155,APPBP2,10513
1156,RTN4,57142
1157,HGS,9146
1158,RTN3,10313
1159,RRN3,54700
1160,MCFD2,90411
1161,NCK2,8440
1162,SLU7,10569
1163,OSER1,51526
1164,TMEM41B,440026
1165,MARCH4,57574
1166,TMEM131,23505
1167,MARCH1,55016
1168,IKBKG,8517
1169,IKBKE,9641
1170,USP24,23358
1171,MARCH9,92979
1172,CCSER2,54462
1173,GNG10,2790
1174,SRCAP,10847
1175,TSC22D1,8848
1176,KHNYN,23351
1177,PAFAH1B1,5048
1178,CNEP1R1,255919
1179,PTTG1IP,754
1180,ZC3H11A,9877
1181,APP,351
1182,RABGAP1L,9910
1183,EID1,23741
1184,TMEM47,83604
1185,PLAGL1,5325
1186,UQCRC2,7385
1187,SNX3,8724
1188,COPS8,10920
1189,ADNP,23394
1190,CYB5R1,51706
1191,FUBP3,8939
1192,NMRK1,54981
1193,STAM,8027
1194,AP2B1,163
1195,YPEL5,51646
1196,NEK7,140609
1197,USP7,7874
1198,KMT2E,55904
1199,PLA2G12A,81579
1200,ZBTB11,27107
1201,UHRF1BP1L,23074
1202,GALNT1,2589
1203,BCAR3,8412
1204,FZD6,8323
1205,TRIM8,81603
1206,PFN2,5217
1207,CREM,1390
1208,RSL24D1,51187
1209,VPS51,738
1210,CREBBP,1387
1211,HDAC3,8841
1212,HDAC2,3066
1213,HDAC4,9759
1214,ANKRD13A,88455
1215,ELOC,6921
1216,MLF1,4291
1217,TPM1,7168
1218,RAB18,22931
1219,CCPG1,9236
1220,RANBP9,10048
1221,FANCL,55120
1222,LSM14A,26065
1223,RANBP2,5903
1224,PLPP1,8611
1225,ACVR2A,92
1226,UGDH,7358
1227,SSX2IP,117178
1228,ACADSB,36
1229,REEP3,221035
1230,RSRC2,65117
1231,STX4,6810
1232,RNF145,153830
1233,ATP5PB,515
1234,USP2,9099
1235,KIAA0232,9778
1236,WTAP,9589
1237,ERCC6,2074
1238,MYO6,4646
1239,RPRD1A,55197
1240,MCL1,4170
1241,NR1D2,9975
1242,YWHAZ,7534
1243,SERTAD2,9792
1244,SUN1,23353
1245,RB1,5925
1246,PHKB,5257
1247,MED13,9969
1248,GDE1,51573
1249,MED17,9440
1250,FEM1C,56929
1251,AMD1,262
1252,CDC42EP3,10602
1253,VCL,7414
1254,AP2A1,160
1255,FYN,2534
1256,AGTPBP1,23287
